time,D1_old,D2_old,SB_initiation_strain,average_strain_inside_SB,crss_gp_shear,crss_or,epsilon_p_zz,global_strain,global_stress,inside_sb_region,local_crss_dendrite_core,local_crss_interdendrite,local_damage_dendrite_core,local_damage_interdendrite,local_strain_dendrite_core,local_strain_interdendrite,max_crss_shear,min_crss_shear,residual_ssd_1,sb_initiation_old,slip_resistance_1,slip_resistance_gamma,strain_zz_old,w_back,w_front
239.16128620039,0,0,0,0.26713881212982,383.66721578945,57.088599999089,0.24890553941437,0.24139621095847,666.60991233921,0,158.77453422221,223.13521334524,0.31022977049283,0.42026305659125,0.26654580306431,0.26773182119533,383.66721578945,325.9663990251,201.39969907159,0,58.364925619717,171.337139326,0.23263061982929,6.1650270586157,7.6134043243665
239.38978220968,0,0,0,0.26739259211358,383.66721578945,57.088599999089,0.24918390488156,0.24162588875384,666.66726067884,0,158.77000008413,223.12462663665,0.31050764112722,0.42066151013222,0.26679369789467,0.2679914863325,383.66721578945,325.9663990251,201.39969907159,0,58.365223476171,171.33115479632,0.2328787735315,6.1656935097655,7.6154488422886
239.51545501479,0,0,0,0.26768046155293,383.66721578945,57.088599999089,0.24933714506021,0.2417532306664,666.65982246135,0,158.76496972424,223.11298199444,0.3106603389506,0.42088079075104,0.26708348173061,0.26827744137524,383.66721578945,325.9663990251,201.39969907159,0,58.365386632441,171.32457357452,0.23315183171759,6.1660621585761,7.6165815425745
239.6411278199,0,0,0,0.26783627285485,383.66721578945,57.088599999089,0.24949032263889,0.24187902870183,666.44212701658,0,158.76221623737,223.10657390115,0.31081314058557,0.42109985900366,0.26723695799383,0.26843558771586,383.66721578945,325.9663990251,201.39969907159,0,58.365549383732,171.32095084021,0.23330213914563,6.1664333408363,7.6177075130473
239.77936790552,0,0,0,0.26799220030479,383.66721578945,57.088599999089,0.2496588152186,0.24201796379799,666.38917110912,0,158.75946016327,223.10017348033,0.31098073434592,0.42134069471862,0.26739327983244,0.26859112077715,383.66721578945,325.9663990251,201.39969907159,0,58.365727628464,171.31733061378,0.23345235470226,6.1668352509718,7.6189430337598
239.9314319997,0,0,0,0.26816112463262,383.66721578945,57.088599999089,0.24984417851129,0.24217099549892,666.46239498533,0,158.75643461644,223.09313475003,0.31116498151351,0.42160554606025,0.26755930735231,0.26876294191293,383.66721578945,325.9663990251,201.39969907159,0,58.365923154001,171.31334865361,0.23361754997576,6.167278892256,7.6203048652495
240.0987025033,0,0,0,0.26834939983948,383.66721578945,57.088599999089,0.25004813690385,0.24233956407264,666.46202843054,0,158.75310158211,223.08539440578,0.31136785641845,0.42189706115063,0.26774601319058,0.26895278648839,383.66721578945,325.9663990251,201.39969907159,0,58.366137584434,171.30896881953,0.23379926629242,6.1677647007219,7.6218020851578
240.28270005726,0,0,0,0.26855867678775,383.66721578945,57.088599999089,0.25027266472857,0.24252576487793,666.46384334383,0,158.74942371583,223.07687442551,0.31159167656307,0.42221792009527,0.26795388681783,0.26916346675767,383.66721578945,325.9663990251,201.39969907159,0,58.366372976378,171.30415047489,0.23399934006018,6.1683077795214,7.623462368789
240.48509736662,0,0,0,0.26879070691847,383.66721578945,57.088599999089,0.25051954466996,0.24272870303713,666.19648802113,0,158.74536849789,223.06749890839,0.31183733181282,0.42257045313599,0.26818595081716,0.26939546301978,383.66721578945,325.9663990251,201.39969907159,0,58.366631173752,171.29884711186,0.23421960761776,6.1688900385006,7.6252622567233
240.70773440691,0,0,0,0.26903968833983,383.66721578945,57.088599999089,0.25079122656324,0.24295320442432,666.43200659326,0,158.74092390704,223.05719848175,0.31210814153976,0.42295832984399,0.26843265525384,0.26964672142583,383.66721578945,325.9663990251,201.39969907159,0,58.366913697398,171.29301748763,0.23446173583435,6.1695395768992,7.6272588034451
240.95263515123,0,0,0,0.26931899294048,383.66721578945,57.088599999089,0.25108998470056,0.24319897159775,666.38374641039,0,158.73602133314,223.04586457453,0.31240569004032,0.42338460409804,0.26871165180584,0.26992633407512,383.66721578945,325.9663990251,201.39969907159,0,58.367223071848,171.28660373781,0.23472825426727,6.1702543210224,7.6294481506089
241.08733056061,0,0,0,0.26962219928702,383.66721578945,57.088599999089,0.25125441543235,0.2433350538891,666.3985370636,0,158.73063943341,223.03340878537,0.31256949078833,0.42361912163146,0.26901293150022,0.27023146707381,383.66721578945,325.9663990251,201.39969907159,0,58.367392288329,171.27955285085,0.23502131717427,6.1706479418865,7.6306582652211
241.22202596999,0,0,0,0.26979072867664,383.66721578945,57.088599999089,0.2514188217369,0.24347023910594,666.2652973814,0,158.72767499325,223.02655696748,0.31273291754493,0.42385357525999,0.26918098176188,0.27040047559141,383.66721578945,325.9663990251,201.39969907159,0,58.36756098023,171.2756720393,0.23518258705809,6.1710380151233,7.631859449759
241.3701909203,0,0,0,0.26995642296112,383.66721578945,57.088599999089,0.25159959643692,0.24361861697247,666.30615814536,0,158.72471626916,223.01970577986,0.31291235810891,0.42411126581311,0.26934417455534,0.27056867136691,383.66721578945,325.9663990251,201.39969907159,0,58.367745880111,171.27179238696,0.23534384438046,6.1714771091506,7.6331888109855
241.53317236565,0,0,0,0.27013859770064,383.66721578945,57.088599999089,0.2517985167067,0.24378291103999,666.27098180347,0,158.7214664944,223.0121743254,0.31310911523001,0.42439477644205,0.26952432084371,0.27075287455757,383.66721578945,325.9663990251,201.39969907159,0,58.367948426604,171.26752703912,0.23552115305268,6.171950740354,7.634648206594
